ts,pair,open,high,low,close
2026-05-13 00:00:00+00:00,GBP_JPY,213.266,213.369,213.157,213.281
2026-05-13 01:00:00+00:00,GBP_JPY,213.281,213.409,213.276,213.385
2026-05-13 02:00:00+00:00,GBP_JPY,213.385,213.431,213.339,213.404
2026-05-13 03:00:00+00:00,GBP_JPY,213.408,213.521,213.35,213.483
2026-05-13 04:00:00+00:00,GBP_JPY,213.483,213.518,213.316,213.475
2026-05-13 05:00:00+00:00,GBP_JPY,213.476,213.521,213.411,213.436
2026-05-13 06:00:00+00:00,GBP_JPY,213.436,213.464,213.336,213.463
2026-05-13 07:00:00+00:00,GBP_JPY,213.458,213.481,213.409,213.454
2026-05-13 08:00:00+00:00,GBP_JPY,213.454,213.684,213.447,213.637
2026-05-13 09:00:00+00:00,GBP_JPY,213.637,213.697,213.349,213.429
2026-05-13 10:00:00+00:00,GBP_JPY,213.429,213.507,213.303,213.396
2026-05-13 11:00:00+00:00,GBP_JPY,213.396,213.55,213.325,213.419
2026-05-13 12:00:00+00:00,GBP_JPY,213.419,213.444,213.241,213.361
2026-05-13 13:00:00+00:00,GBP_JPY,213.361,213.384,212.966,213.157
2026-05-13 14:00:00+00:00,GBP_JPY,213.157,213.224,213.005,213.037
2026-05-13 15:00:00+00:00,GBP_JPY,213.037,213.156,212.874,212.933
2026-05-13 16:00:00+00:00,GBP_JPY,212.933,213.26,212.933,213.211
2026-05-13 17:00:00+00:00,GBP_JPY,213.213,213.375,213.176,213.324
2026-05-13 18:00:00+00:00,GBP_JPY,213.322,213.474,213.292,213.374
2026-05-13 19:00:00+00:00,GBP_JPY,213.374,213.448,213.291,213.341
2026-05-13 20:00:00+00:00,GBP_JPY,213.34,213.393,213.312,213.383
2026-05-13 21:00:00+00:00,GBP_JPY,213.383,213.444,213.355,213.439
2026-05-13 22:00:00+00:00,GBP_JPY,213.437,213.505,213.426,213.482
2026-05-13 23:00:00+00:00,GBP_JPY,213.478,213.555,213.446,213.497
2026-05-14 00:00:00+00:00,GBP_JPY,213.273,213.463,213.059,213.332
2026-05-14 01:00:00+00:00,GBP_JPY,213.332,213.526,213.331,213.467
2026-05-14 02:00:00+00:00,GBP_JPY,213.467,213.528,213.42,213.526
2026-05-14 03:00:00+00:00,GBP_JPY,213.526,213.575,213.484,213.565
2026-05-14 04:00:00+00:00,GBP_JPY,213.565,213.625,213.514,213.527
2026-05-14 05:00:00+00:00,GBP_JPY,213.527,213.616,213.52,213.562
2026-05-14 06:00:00+00:00,GBP_JPY,213.562,213.703,213.559,213.675
2026-05-14 07:00:00+00:00,GBP_JPY,213.675,213.68,213.137,213.561
2026-05-14 08:00:00+00:00,GBP_JPY,213.561,213.59,213.397,213.418
2026-05-14 09:00:00+00:00,GBP_JPY,213.418,213.594,213.407,213.515
2026-05-14 10:00:00+00:00,GBP_JPY,213.515,213.528,213.265,213.274
2026-05-14 11:00:00+00:00,GBP_JPY,213.274,213.473,213.257,213.472
2026-05-14 12:00:00+00:00,GBP_JPY,213.472,213.496,213.331,213.357
2026-05-14 13:00:00+00:00,GBP_JPY,213.357,213.47,213.335,213.391
2026-05-14 14:00:00+00:00,GBP_JPY,213.391,213.472,213.192,213.263
2026-05-14 15:00:00+00:00,GBP_JPY,213.262,213.483,213.209,213.379
2026-05-14 16:00:00+00:00,GBP_JPY,213.379,213.414,212.464,213.173
